기준년월,기초지자체,중분류,소비액(천원)
20220226,천안시 서북구,관광기념품,476
20220227,천안시 서북구,호텔,1962
20220227,천안시 서북구,기타숙박,12610
20220227,천안시 서북구,레저용품쇼핑,52358
20220227,천안시 서북구,대형쇼핑몰,297786
20220227,천안시 서북구,골프장,20546
20220227,천안시 서북구,기타레저,4701
20220227,천안시 서북구,문화서비스,3452
20220227,천안시 서북구,식음료,306767
20220227,천안시 서북구,관광기념품,41
20220228,천안시 서북구,호텔,2053
20220228,천안시 서북구,기타숙박,13594
20220228,천안시 서북구,레저용품쇼핑,50919
20220228,천안시 서북구,대형쇼핑몰,189814
20220228,천안시 서북구,골프장,18168
20220228,천안시 서북구,기타레저,5469
20220228,천안시 서북구,문화서비스,1706
20220228,천안시 서북구,식음료,299071
20220228,천안시 서북구,관광기념품,532
20220201,천안시 서북구,관광기념품,0
20220201,천안시 서북구,관광유원시설,0
20220202,천안시 서북구,관광유원시설,196
20220203,천안시 서북구,관광유원시설,156
20220204,천안시 서북구,관광유원시설,162
20220205,천안시 서북구,관광유원시설,594
20220206,천안시 서북구,관광기념품,46
20220206,천안시 서북구,관광유원시설,542
20220207,천안시 서북구,관광유원시설,348
20220208,천안시 서북구,호텔,210
20220208,천안시 서북구,관광유원시설,255
20220209,천안시 서북구,호텔,189
20220209,천안시 서북구,렌터카,0
20220209,천안시 서북구,관광유원시설,154
20220211,천안시 서북구,관광유원시설,143
20220212,천안시 서북구,관광유원시설,950
20220213,천안시 서북구,관광기념품,361
20220213,천안시 서북구,관광유원시설,414
20220214,천안시 서북구,관광유원시설,97
20220215,천안시 서북구,관광유원시설,136
20220216,천안시 서북구,관광유원시설,223
20220217,천안시 서북구,호텔,637
20220217,천안시 서북구,렌터카,0
20220217,천안시 서북구,관광유원시설,336
20220218,천안시 서북구,렌터카,0
20220218,천안시 서북구,관광유원시설,111
20220218,천안시 서북구,여행업,0
