기준년월,기초지자체,중분류,소비액(천원)
20220212,천안시 동남구,기타레저,3360
20220212,천안시 동남구,문화서비스,2577
20220212,천안시 동남구,식음료,286531
20220213,천안시 동남구,호텔,558
20220213,천안시 동남구,콘도,7206
20220213,천안시 동남구,캠핑장/펜션,234
20220213,천안시 동남구,기타숙박,5390
20220213,천안시 동남구,관광기념품,264
20220213,천안시 동남구,레저용품쇼핑,17362
20220213,천안시 동남구,대형쇼핑몰,154000
20220213,천안시 동남구,관광유원시설,645
20220213,천안시 동남구,골프장,37711
20220213,천안시 동남구,기타레저,2195
20220213,천안시 동남구,문화서비스,2541
20220213,천안시 동남구,식음료,254354
20220214,천안시 동남구,호텔,300
20220214,천안시 동남구,콘도,2835
20220214,천안시 동남구,기타숙박,6252
20220214,천안시 동남구,레저용품쇼핑,6371
20220214,천안시 동남구,대형쇼핑몰,87501
20220214,천안시 동남구,관광유원시설,472
20220214,천안시 동남구,골프장,26101
20220214,천안시 동남구,기타레저,1483
20220214,천안시 동남구,문화서비스,932
20220214,천안시 동남구,식음료,159990
20220215,천안시 동남구,콘도,1024
20220215,천안시 동남구,기타숙박,5118
20220215,천안시 동남구,레저용품쇼핑,8079
20220215,천안시 동남구,대형쇼핑몰,102325
20220215,천안시 동남구,관광유원시설,316
20220215,천안시 동남구,골프장,13652
20220215,천안시 동남구,기타레저,881
20220215,천안시 동남구,문화서비스,901
20220215,천안시 동남구,식음료,162939
20220216,천안시 동남구,호텔,185
20220216,천안시 동남구,콘도,1042
20220216,천안시 동남구,캠핑장/펜션,127
20220216,천안시 동남구,기타숙박,5545
20220216,천안시 동남구,레저용품쇼핑,6287
20220216,천안시 동남구,대형쇼핑몰,77480
20220216,천안시 동남구,관광유원시설,417
20220216,천안시 동남구,골프장,2304
20220216,천안시 동남구,기타레저,1265
20220216,천안시 동남구,문화서비스,899
20220216,천안시 동남구,식음료,167526
20220217,천안시 동남구,콘도,2314
20220217,천안시 동남구,캠핑장/펜션,66
